run_id,thickness_cm,w_regolith,incident_energy_mev,target_dose_sv_per_particle,target_secondary_neutrons,target_secondary_gammas,transmission_probability,target_secondary_protons,target_secondary_pions,target_secondary_light_ions,sem_dose,sem_neutrons,rel_sem_dose,rel_sem_neutrons,p_nuclear_interaction,mean_neutrons_given_interaction,log_mean_dose,log_std_dose,n_events
1139,7.507323324021123,0.5105065919545477,5758.368222025163,1.2254137675265e-13,0.4238,0.9551,0.877,0.1878,0.171,0.0091,1.553084531719334e-15,0.013980661711456616,0.012673960199208778,0.0329888195173587,0.137,3.0934306569343066,-30.33268779560093,1.029842886521698,10000
1140,3.3999661681804234,0.5962402744319989,699.3297307240575,6.029900603249e-14,0.1161,0.2077,0.94,0.0681,0.0094,0.0009,4.3314758731090046e-16,0.005980439412414154,0.007183328811050619,0.051511106050078845,0.0585,1.9846153846153847,-30.60522074351981,0.5589826010293317,10000
1141,6.362908945037433,0.1749280442549781,270.9833922900004,8.427644943368337e-14,0.0719,0.1488,0.9335,0.0602,0.0,0.0,1.9905241665923553e-16,0.00433531065690213,0.0023618984662597668,0.06029639300281126,0.0414,1.7367149758454106,-30.164578850241956,0.5745943978993918,10000
1142,3.192527309704652,0.2417900463274818,1514.0890565024863,6.52461424135e-14,0.1303,0.2127,0.9527,0.0625,0.0167,0.0008,6.428627302199563e-16,0.006619408784571755,0.009852884882385666,0.05080129535358216,0.0614,2.1221498371335503,-30.644285988722217,0.6697051124193429,10000
1143,6.4056649440545606,0.0884041535436472,18.06694834267473,2.68329516e-18,0.0,0.0043,0.0,0.0,0.0,0.0,8.934617182232636e-19,0.0,0.33297183684528525,,0.0,0.0,-35.52950210873255,1.7483579124347413,10000
1144,4.509476997818391,0.0386176458780787,9286.415328146526,1.3009822831700002e-13,0.2044,0.4909,0.9443,0.0962,0.1358,0.0094,1.8488135200671896e-15,0.008950423174772282,0.014210904667835542,0.04378876308597007,0.0774,2.640826873385013,-30.3485607427619,1.048967006913342,10000
1145,1.6574218847130555,0.5813132333876885,716.7295699926848,6.053208339033999e-14,0.0607,0.1085,0.9723,0.0341,0.0058,0.0006,4.484366824344175e-16,0.004064874330201616,0.007408247945848519,0.06696662817465594,0.0335,1.8119402985074626,-30.605082606084473,0.5384657704655956,10000
1146,12.90926720336108,0.4743217549422109,115.73692316940968,1.100897915600272e-16,0.0281,0.1071,0.0,0.0001,0.0,0.0,1.1059672370486889e-17,0.0025478791511405877,0.1004604715275215,0.09067185591247644,0.019,1.4789473684210526,-35.700762051771726,2.225255534294817,10000
1147,7.036913320216868,0.6215811317653499,3709.1233538599927,9.1676381136616e-14,0.4441,0.8873,0.8748,0.1771,0.0912,0.0037,1.0997013547486494e-15,0.014946901350647851,0.011995470819358327,0.03365661191319039,0.1383,3.2111352133044107,-30.49275376199,0.8850796478560566,10000
1148,11.827796290524391,0.3582428869564545,7322.204458928687,1.4085344770698e-13,0.5582,1.538,0.8317,0.2559,0.3026,0.0097,1.7956641974077543e-15,0.016722118254691668,0.012748457539664257,0.029957216507867552,0.1782,3.132435465768799,-30.239673520645685,1.0876938377896193,10000
1149,8.991605561674914,0.4100468862890445,1122.9404305434362,6.551629726976e-14,0.2807,0.4807,0.8673,0.1396,0.0342,0.0012,5.716559181960943e-16,0.009992033580483372,0.008725400274718369,0.0355968421107352,0.1234,2.2747163695299837,-30.61740537859059,0.7374729993143816,10000
1150,12.492209123176442,0.3590723536266062,123.026314792382,1.29410555393005e-16,0.0347,0.1183,0.0,0.0001,0.0,0.0,1.1350701849095052e-17,0.0028513863365745512,0.08771078846408065,0.08217251690416574,0.023,1.508695652173913,-35.479420792023,2.0293322856235956,10000
1151,11.649005819518052,0.2053375959394171,109.25351846718044,7.58635774900116e-17,0.0206,0.1005,0.0,0.0,0.0,0.0,6.97619239968404e-18,0.0022221741168910636,0.09195707123886353,0.10787252994616814,0.0138,1.4927536231884058,-35.98002389996431,2.222096330886774,10000
1152,11.556582724251452,0.6809122585043715,916.1342380549044,6.547068820944088e-14,0.4333,0.7101,0.7931,0.1914,0.0322,0.0021,5.319564597634269e-16,0.01262739308430725,0.008125108721351715,0.029142379608371217,0.1754,2.470353477765108,-30.61797447699522,0.8449944571801413,10000
1153,4.5579427586286165,0.3012561319861281,128.94986256192732,4.663117462945e-14,0.0409,0.0892,0.9417,0.0292,0.0,0.0001,9.469137657779292e-17,0.0031246912438730574,0.0020306453210807694,0.07639831892110165,0.0253,1.616600790513834,-30.762058234307855,0.653326102711787,10000
1154,8.690603986014473,0.246265506992773,309.38364547087457,7.658498631781028e-14,0.0898,0.1916,0.9103,0.0817,0.0,0.0004,2.3864252006751684e-16,0.005249414408785375,0.0031160483476122152,0.05845673061008213,0.0503,1.7852882703777335,-30.283752670430825,0.7020876019829759,10000
1155,11.511265139306389,0.1042441331860998,219.48128167460663,7.749489018233752e-14,0.0833,0.2062,0.888,0.0633,0.0,0.0,2.198172120797663e-16,0.0048102416615471875,0.0028365381454513836,0.05774599833790141,0.0489,1.703476482617587,-30.327083287811426,1.0240332615334868,10000
1156,10.853103282481312,0.4942155101503003,789.0809806597204,6.288251539226375e-14,0.3022,0.529,0.8348,0.1541,0.0253,0.0015,4.76956843633056e-16,0.010241972749455062,0.007584888114888207,0.03389137243366996,0.1366,2.212298682284041,-30.62273447101056,0.7952906282563529,10000
1157,1.7891601615310575,0.0790755780498876,38.83121641400611,1.3306403311000001e-17,0.0016,0.0235,0.0,0.0,0.0,0.0,1.9618063083927475e-18,0.0005475161891649778,0.14743325168650057,0.3421976182281111,0.0012,1.3333333333333333,-35.66476043066733,1.7176297476608189,10000
1158,1.993508398730424,0.0109982434693751,1047.9644977641633,6.03476520828e-14,0.0667,0.1063,0.9773,0.0308,0.0058,0.0005,5.154825262866459e-16,0.004421206363264518,0.008541882053329567,0.06628495297248153,0.0343,1.944606413994169,-30.654048012848115,0.5856038940210557,10000
1159,7.534182190481881,0.1068983485454194,46.652122527351615,9.0699288769e-18,0.0012,0.021,0.0,0.0,0.0,0.0,1.5383965853342513e-18,0.00039983995197918865,0.1696150660290578,0.3331999599826572,0.001,1.2,-36.3368596332766,2.086618512650831,10000
1160,14.333206613463666,0.3277375546392304,634.3418330245945,6.248151445426778e-14,0.2488,0.4959,0.8229,0.1594,0.0172,0.0009,4.309880731103311e-16,0.008841813941006492,0.006897849337915538,0.03553783738346661,0.1274,1.9529042386185242,-30.6174218600577,0.8622725525202708,10000
1161,3.738745499074047,0.0519400088564829,13.443134422037014,8.880231e-20,0.0,0.0005,0.0,0.0,0.0,0.0,7.236498608102553e-20,0.0,0.814899816018587,,0.0,0.0,-36.38365580021394,1.4406734911732948,10000
1162,6.864353658083972,0.4000518043406595,4984.053658829089,1.0588585423929999e-13,0.3347,0.7218,0.8967,0.1556,0.1142,0.0066,1.3513614566517624e-15,0.01217548418920267,0.01276243617582488,0.0363773056145882,0.1195,2.800836820083682,-30.420709832218265,0.948306781047901,10000
1163,9.330015170894463,0.2069254746745176,424.6147185155716,6.58798560383898e-14,0.1146,0.2382,0.9036,0.0992,0.0017,0.0005,3.407380394767928e-16,0.0059958551540128776,0.005172112690687065,0.052319853001857576,0.0621,1.8454106280193237,-30.47893517856101,0.7114144122891128,10000
1164,14.310677683251072,0.047315321896059,44.43669261822292,6.5102536299999996e-18,0.0013,0.0139,0.0,0.0,0.0,0.0,1.403650486099979e-18,0.0007415429782547063,0.21560611396640458,0.5704176755805433,0.0007,1.8571428571428572,-36.009354962318966,1.7226556411790075,10000
1165,8.655047333989293,0.286665373415661,18.217274438625207,1.6294350399999998e-18,0.0,0.0021,0.0,0.0,0.0,0.0,5.468378482492405e-19,0.0,0.335599661738734,,0.0,0.0,-35.16661727182813,1.460337395069358,10000
1166,7.6416742703559555,0.1195347054968756,36.91237122237552,6.948724674720001e-18,0.0012,0.0158,0.0,0.0,0.0,0.0,1.367468175550129e-18,0.0006479953624826183,0.1967941225999476,0.5399961354021819,0.0007,1.7142857142857142,-35.979538080749904,1.8539456980129798,10000
1167,14.397341914572507,0.13486636692494,45.99496087535931,6.062872101e-18,0.0004,0.0152,0.0,0.0,0.0,0.0,1.303446397319751e-18,0.00019996999474891224,0.21498827215978425,0.4999249868722806,0.0004,1.0,-36.217759799534626,1.7320822180063082,10000
1168,9.215963692606806,0.3861353489627719,638.2736009809745,6.250106970803585e-14,0.2093,0.3833,0.8721,0.1257,0.0145,0.0016,4.3199213825231274e-16,0.008420002413542672,0.0069117559150634975,0.04022934741300846,0.1004,2.0846613545816735,-30.58439759964844,0.7076149108651154,10000
1169,4.296440592912024,0.2871486927319895,1992.7088606889713,6.85867070403419e-14,0.172,0.3083,0.941,0.0766,0.0223,0.0007,7.215233265251701e-16,0.007911248876497225,0.010519871235409779,0.04599563300289085,0.0732,2.349726775956284,-30.63929343786668,0.7352483549731511,10000
1170,7.141715315511253,0.3109366086427088,597.0684488058656,6.279641234430633e-14,0.1419,0.2761,0.9106,0.0953,0.0099,0.0004,4.1649940281054345e-16,0.0065223226744241134,0.006632535000995274,0.04596421898818966,0.074,1.9175675675675676,-30.557879133087805,0.6250495060772381,10000
1171,1.3549348943814907,0.4158378421293552,1755.8574592591356,6.507567061340001e-14,0.0655,0.1192,0.9785,0.031,0.0095,0.0007,6.719658127766814e-16,0.0045324418697795,0.010325914530618976,0.06919758579816031,0.0334,1.9610778443113772,-30.662126514109545,0.6767852432547848,10000
1172,9.814311992560697,0.3265863203569479,5456.489165096349,1.20215064631804e-13,0.4497,1.0631,0.8612,0.2122,0.1801,0.0087,1.5110034070362637e-15,0.014290815712945644,0.012569168528621444,0.03177855395362607,0.1515,2.9683168316831683,-30.333292107158687,1.0110549603422563,10000
1173,8.28218981912432,0.5196235999926039,3063.8219394484827,8.3402701081057e-14,0.4333,0.8809,0.8592,0.1954,0.0785,0.0025,9.450970893482209e-16,0.013997667822549836,0.011331732391133288,0.03230479534398762,0.1482,2.9237516869095814,-30.532942992290977,0.8366069673246274,10000
