run_id,thickness_cm,w_regolith,incident_energy_mev,target_dose_sv_per_particle,target_secondary_neutrons,target_secondary_gammas,transmission_probability,target_secondary_protons,target_secondary_pions,target_secondary_light_ions,sem_dose,sem_neutrons,rel_sem_dose,rel_sem_neutrons,p_nuclear_interaction,mean_neutrons_given_interaction,log_mean_dose,log_std_dose,n_events,target_dose_sv_per_particle_shrunk,target_dose_sv_per_particle_shrunk_sem,target_dose_sv_per_particle_gp_only,target_secondary_neutrons_shrunk,target_secondary_neutrons_shrunk_sem,target_secondary_neutrons_gp_only
890,1.8249333693955987,0.6465912713461093,215.3786797038788,1.0195121641203999e-13,0.0294,0.0656,0.9742,0.0245,0.0,0.0003,1.7179700530194331e-16,0.0025326281646823,0.0016850902946328,0.0861438151252484,0.019,1.5473684210526315,-29.94972954980988,0.3979663003647287,10000,1.0111705829658516e-13,8.878397415265938e-16,9.920183165436964e-14,0.02977048322284962,0.002439668919861658,0.03454116751239575
891,12.130262446683991,0.2134617337399136,17.90597746451538,6.0819396395e-19,0.0,0.0013,0.0,0.0,0.0,0.0,4.385273028363721e-19,0.0,0.7210319878683041,,0.0,0.0,-36.8369071283368,3.302994657688428,10000,0.0,8.518722016747624e-16,-6.489770112175424e-17,0.0,1e-15,0.0003769668041204155
892,1.2942599851238072,0.1699516768553529,4310.311965340342,8.7556130066e-14,0.0662,0.1155,0.9828,0.0285,0.0194,0.0015,1.1474157600495805e-15,0.0042876093991216,0.0131049163454878,0.0647675135818973,0.0333,1.987987987987988,-30.55283460588768,0.8566848465150227,10000,8.762313525101499e-14,1.184500335955872e-15,8.769712138868284e-14,0.06623629006522519,0.0038854076316961086,0.066402951281877
893,4.058147134054309,0.3575597306784927,3253.064682311276,7.80218954109e-14,0.1871,0.3664,0.9391,0.0873,0.0389,0.0015,9.22557557788715e-16,0.0087884630458499,0.0118243417816254,0.0469720098655798,0.0768,2.4361979166666665,-30.588758878312767,0.7935204871930907,10000,7.82381306227785e-14,1.0509473599908249e-15,7.844119727549722e-14,0.1949630790427375,0.006169746955538828,0.20260423921451934
894,13.075900739416506,0.0333280815178589,710.279656538334,6.300152693977435e-14,0.2155,0.4631,0.8605,0.1311,0.0214,0.0007,4.618641809943419e-16,0.0080120156165239,0.0073309997936376,0.0371787267588119,0.1128,1.9104609929078011,-30.59920935955312,0.7422362531782513,10000,6.294043559094415e-14,9.233895431354479e-16,6.284636225158896e-14,0.21281079282858595,0.005951731296365428,0.2094996206354894
895,5.2864343916620165,0.1160885668462992,2007.5075761970809,7.004032395805002e-14,0.212,0.3645,0.9295,0.0932,0.0317,0.0011,7.317254208348071e-16,0.0094548685582585,0.0104472021184977,0.044598436595559,0.0843,2.5148279952550414,-30.618643496973917,0.726757322407488,10000,6.979560807523678e-14,9.895649072061057e-16,6.952413170998202e-14,0.20112969638187467,0.006378857209615789,0.19204822155617146
896,9.500285503210128,0.249894799577066,22.704017196859265,2.82550404e-18,0.0,0.0041,0.0,0.0,0.0,0.0,9.51827166263441e-19,0.0,0.3368698656199554,,0.0,0.0,-35.44075579046946,1.5131537083018711,10000,0.0,8.53509496887126e-16,-3.932185979553167e-17,0.0,1e-15,0.0006842844242169466
897,13.521774462974406,0.5451246553732171,721.1508352168479,6.193543567376704e-14,0.3469,0.6194,0.7906,0.1813,0.0216,0.0014,4.520909455173839e-16,0.0108594581717127,0.0072993907381016,0.0313042899155743,0.1597,2.1721978710081404,-30.652986511697268,0.912088038923729,10000,6.193250184060418e-14,9.177953773571557e-16,6.192811168983973e-14,0.33696197564118097,0.006808955914877833,0.3305239210644279
898,12.014501392077818,0.4740559291861291,299.47507583502954,8.116304729751479e-14,0.1422,0.2647,0.8489,0.1015,0.0001,0.0003,2.648834354021497e-16,0.0064855317601736,0.0032635964792103,0.0456085215202085,0.0794,1.7909319899244331,-30.31009955254461,1.0967933561416092,10000,8.219781608914798e-14,8.757750862274731e-16,8.384862797962005e-14,0.13946567346872438,0.005188100621819555,0.13460633860420013
899,7.943699938979062,0.3367497924542736,6169.621669440852,1.2279612088782e-13,0.3657,0.8824,0.8826,0.1752,0.1809,0.0119,1.6001621287440677e-15,0.0122870439140101,0.0130310478635224,0.0335986981515181,0.1308,2.7958715596330275,-30.34183451464945,1.0311388758912312,10000,1.2425260830424539e-13,1.2324399494617523e-15,1.2492713316513647e-13,0.3776792934364134,0.007059161486854362,0.38358151938244023
